Virtual environment activated.
[INFO] Dry run...
Epoch 1/30 | val: {'dice': 0.6931818181818182, 'iou': 0.6931818181818182, 'boundary_f1': 0.6931818344376304, 'betti0_err': 0.9772727272727273, 'betti1_err': 0.7045454545454546, 'pd_dist': 0.21461648473260586}
Epoch 2/30 | val: {'dice': 0.6931818181818182, 'iou': 0.6931818181818182, 'boundary_f1': 0.6931818344376304, 'betti0_err': 0.9772727272727273, 'betti1_err': 0.7045454545454546, 'pd_dist': 0.22820169089982817}
Epoch 3/30 | val: {'dice': 0.6931818181818182, 'iou': 0.6931818181818182, 'boundary_f1': 0.6931818344376304, 'betti0_err': 0.9772727272727273, 'betti1_err': 0.7045454545454546, 'pd_dist': 0.22790210721059234}
Epoch 4/30 | val: {'dice': 0.6931818181818182, 'iou': 0.6931818181818182, 'boundary_f1': 0.6931818344376304, 'betti0_err': 0.9772727272727273, 'betti1_err': 0.7045454545454546, 'pd_dist': 0.21916617030994054}
Epoch 5/30 | val: {'dice': 0.6931818181818182, 'iou': 0.6931818181818182, 'boundary_f1': 0.6931818344376304, 'betti0_err': 0.9772727272727273, 'betti1_err': 0.7045454545454546, 'pd_dist': 0.20802450006382597}
Epoch 6/30 | val: {'dice': 0.6931818181818182, 'iou': 0.6931818181818182, 'boundary_f1': 0.6931818344376304, 'betti0_err': 0.9772727272727273, 'betti1_err': 0.7045454545454546, 'pd_dist': 0.19831154574048587}
Epoch 7/30 | val: {'dice': 0.6931818181818182, 'iou': 0.6931818181818182, 'boundary_f1': 0.6931818344376304, 'betti0_err': 0.9772727272727273, 'betti1_err': 0.7045454545454546, 'pd_dist': 0.19756345211179605}
Epoch 8/30 | val: {'dice': 0.6931818181818182, 'iou': 0.6931818181818182, 'boundary_f1': 0.6931818344376304, 'betti0_err': 0.9772727272727273, 'betti1_err': 0.7045454545454546, 'pd_dist': 0.19092798045799017}
Epoch 9/30 | val: {'dice': 0.6931818181818182, 'iou': 0.6931818181818182, 'boundary_f1': 0.6931818344376304, 'betti0_err': 0.9772727272727273, 'betti1_err': 0.7045454545454546, 'pd_dist': 0.19613800595102324}
Epoch 10/30 | val: {'dice': 0.6931933543898843, 'iou': 0.6931875944137573, 'boundary_f1': 0.6932053186676719, 'betti0_err': 0.9715909090909091, 'betti1_err': 0.7045454545454546, 'pd_dist': 0.1942317104671104}
Epoch 11/30 | val: {'dice': 0.6933084238659252, 'iou': 0.693245833570307, 'boundary_f1': 0.6933534958145835, 'betti0_err': 0.9545454545454546, 'betti1_err': 0.7045454545454546, 'pd_dist': 0.19067783458950957}
Epoch 12/30 | val: {'dice': 0.6939860419793562, 'iou': 0.6936121908101168, 'boundary_f1': 0.7149270176887512, 'betti0_err': 0.8863636363636364, 'betti1_err': 0.7045454545454546, 'pd_dist': 0.18998921304008717}
Epoch 13/30 | val: {'dice': 0.6942359805107117, 'iou': 0.6937530528415333, 'boundary_f1': 0.7208673032847318, 'betti0_err': 0.8579545454545454, 'betti1_err': 0.7045454545454546, 'pd_dist': 0.19802184234266917}
Epoch 14/30 | val: {'dice': 0.6972700574181296, 'iou': 0.6953810886903242, 'boundary_f1': 0.7258196039633318, 'betti0_err': 0.8181818181818182, 'betti1_err': 0.6875, 'pd_dist': 0.1937134795460661}
Epoch 15/30 | val: {'dice': 0.694885557348078, 'iou': 0.6941163106398149, 'boundary_f1': 0.7312843853777106, 'betti0_err': 0.7727272727272727, 'betti1_err': 0.7045454545454546, 'pd_dist': 0.19073340078142656}
Epoch 16/30 | val: {'dice': 0.6902171210809187, 'iou': 0.6889632777734236, 'boundary_f1': 0.7441612861373208, 'betti0_err': 0.7102272727272727, 'betti1_err': 0.6988636363636364, 'pd_dist': 0.20460450036125907}
Epoch 17/30 | val: {'dice': 0.6962730776179921, 'iou': 0.6948642568154768, 'boundary_f1': 0.7396561015735973, 'betti0_err': 0.7386363636363636, 'betti1_err': 0.6988636363636364, 'pd_dist': 0.19660040745408483}
Epoch 18/30 | val: {'dice': 0.696392297744751, 'iou': 0.6949144872752103, 'boundary_f1': 0.7397047118707136, 'betti0_err': 0.6988636363636364, 'betti1_err': 0.6988636363636364, 'pd_dist': 0.19390168393858265}
Epoch 19/30 | val: {'dice': 0.6862633065743879, 'iou': 0.6842044700275768, 'boundary_f1': 0.7444560365243391, 'betti0_err': 0.6647727272727273, 'betti1_err': 0.7045454545454546, 'pd_dist': 0.19611746803127492}
Epoch 20/30 | val: {'dice': 0.669802337884903, 'iou': 0.6674859848889437, 'boundary_f1': 0.7594524025917053, 'betti0_err': 0.7102272727272727, 'betti1_err': 0.6988636363636364, 'pd_dist': 0.19673352112567316}
Epoch 21/30 | val: {'dice': 0.6642548848282207, 'iou': 0.6618766459551725, 'boundary_f1': 0.7550669583407316, 'betti0_err': 0.7272727272727273, 'betti1_err': 0.6988636363636364, 'pd_dist': 0.1941431997034191}
Epoch 22/30 | val: {'dice': 0.6636807051571932, 'iou': 0.6615524725480513, 'boundary_f1': 0.7543594945560802, 'betti0_err': 0.6761363636363636, 'betti1_err': 0.6988636363636364, 'pd_dist': 0.19281897325373654}
Epoch 23/30 | val: {'dice': 0.6410567787560549, 'iou': 0.6388744711875916, 'boundary_f1': 0.7476089705120433, 'betti0_err': 0.6534090909090909, 'betti1_err': 0.6931818181818182, 'pd_dist': 0.19441758549174074}
Epoch 24/30 | val: {'dice': 0.6352726410735737, 'iou': 0.6331480958245017, 'boundary_f1': 0.7517734224146063, 'betti0_err': 0.6590909090909091, 'betti1_err': 0.7045454545454546, 'pd_dist': 0.1955454938773453}
