Virtual environment activated.
Epoch 1/30 | val: {'dice': 0.6931818181818182, 'iou': 0.6931818181818182, 'boundary_f1': 0.6931818344376304, 'betti0_err': 0.9772727272727273, 'betti1_err': 0.7045454545454546, 'pd_dist': 0.21591383673877698}
Epoch 2/30 | val: {'dice': 0.6931818181818182, 'iou': 0.6931818181818182, 'boundary_f1': 0.6931818344376304, 'betti0_err': 0.9772727272727273, 'betti1_err': 0.7045454545454546, 'pd_dist': 0.2246940907848873}
Epoch 3/30 | val: {'dice': 0.6931818181818182, 'iou': 0.6931818181818182, 'boundary_f1': 0.6931818344376304, 'betti0_err': 0.9772727272727273, 'betti1_err': 0.7045454545454546, 'pd_dist': 0.20640214211638605}
Epoch 4/30 | val: {'dice': 0.6931818181818182, 'iou': 0.6931818181818182, 'boundary_f1': 0.6931818344376304, 'betti0_err': 0.9772727272727273, 'betti1_err': 0.7045454545454546, 'pd_dist': 0.1968498682506634}
Epoch 5/30 | val: {'dice': 0.6931818181818182, 'iou': 0.6931818181818182, 'boundary_f1': 0.6931818344376304, 'betti0_err': 0.9772727272727273, 'betti1_err': 0.7045454545454546, 'pd_dist': 0.19246412501262888}
Epoch 6/30 | val: {'dice': 0.6932868794961409, 'iou': 0.693234839222648, 'boundary_f1': 0.693389811299064, 'betti0_err': 0.9545454545454546, 'betti1_err': 0.7045454545454546, 'pd_dist': 0.1886630829726711}
Epoch 7/30 | val: {'dice': 0.6945617469874296, 'iou': 0.693924605846405, 'boundary_f1': 0.7257726734334772, 'betti0_err': 0.8693181818181818, 'betti1_err': 0.7045454545454546, 'pd_dist': 0.19492045670377572}
Epoch 8/30 | val: {'dice': 0.6944858052513816, 'iou': 0.693899317221208, 'boundary_f1': 0.7146271575580944, 'betti0_err': 0.8977272727272727, 'betti1_err': 0.7045454545454546, 'pd_dist': 0.18902500862612162}
Epoch 9/30 | val: {'dice': 0.6898351365869696, 'iou': 0.6887894381176342, 'boundary_f1': 0.7430941516702826, 'betti0_err': 0.8295454545454546, 'betti1_err': 0.7045454545454546, 'pd_dist': 0.19476664417896086}
Epoch 10/30 | val: {'dice': 0.6739253510128368, 'iou': 0.6723505258560181, 'boundary_f1': 0.7650470787828619, 'betti0_err': 0.8181818181818182, 'betti1_err': 0.6988636363636364, 'pd_dist': 0.19537770333452242}
Epoch 11/30 | val: {'dice': 0.6634212190454657, 'iou': 0.6614446152340282, 'boundary_f1': 0.7462284673344005, 'betti0_err': 0.8238636363636364, 'betti1_err': 0.6931818181818182, 'pd_dist': 0.19460533430693291}
Epoch 12/30 | val: {'dice': 0.6797793399203907, 'iou': 0.6781325394457037, 'boundary_f1': 0.7380331917242571, 'betti0_err': 0.8068181818181818, 'betti1_err': 0.6988636363636364, 'pd_dist': 0.19616213997162865}
Epoch 13/30 | val: {'dice': 0.645637495951219, 'iou': 0.644024832682176, 'boundary_f1': 0.7553269592198458, 'betti0_err': 0.7784090909090909, 'betti1_err': 0.6988636363636364, 'pd_dist': 0.19997374193533898}
Epoch 14/30 | val: {'dice': 0.6408682004971937, 'iou': 0.6388205587863922, 'boundary_f1': 0.7399184053594415, 'betti0_err': 0.7840909090909091, 'betti1_err': 0.6988636363636364, 'pd_dist': 0.19683787670508376}
Epoch 15/30 | val: {'dice': 0.6646698659116571, 'iou': 0.6621292341839183, 'boundary_f1': 0.7442845918915488, 'betti0_err': 0.7840909090909091, 'betti1_err': 0.6988636363636364, 'pd_dist': 0.18898015403707638}
Epoch 16/30 | val: {'dice': 0.6419271609999917, 'iou': 0.6393896828998219, 'boundary_f1': 0.743081889369271, 'betti0_err': 0.7897727272727273, 'betti1_err': 0.6988636363636364, 'pd_dist': 0.19316794790666372}
