Virtual environment activated.
Epoch 1/30 | val: {'dice': 0.3074629067310265, 'iou': 0.19760571313755854, 'boundary_f1': 0.18122883114431584, 'betti0_err': 10.735119047619047, 'betti1_err': 0.9699900793650793, 'pd_dist': 0.28844896972316114}
Epoch 2/30 | val: {'dice': 0.30296413227915764, 'iou': 0.1940016102577959, 'boundary_f1': 0.18563975074461528, 'betti0_err': 10.735119047619047, 'betti1_err': 0.9699900793650793, 'pd_dist': 0.2883082363730662}
Epoch 3/30 | val: {'dice': 0.3046363980642387, 'iou': 0.1954455804079771, 'boundary_f1': 0.1817731490092618, 'betti0_err': 10.735119047619047, 'betti1_err': 0.9699900793650793, 'pd_dist': 0.2896157608311123}
Epoch 4/30 | val: {'dice': 0.3087295836635998, 'iou': 0.1986585802265576, 'boundary_f1': 0.18661543993013247, 'betti0_err': 10.735119047619047, 'betti1_err': 0.9699900793650793, 'pd_dist': 0.29497136626057563}
Epoch 5/30 | val: {'dice': 0.3116376996040344, 'iou': 0.20099130805049623, 'boundary_f1': 0.17947822223816598, 'betti0_err': 10.735119047619047, 'betti1_err': 0.9699900793650793, 'pd_dist': 0.29127090767492014}
Epoch 6/30 | val: {'dice': 0.3007312725697245, 'iou': 0.19249102074120725, 'boundary_f1': 0.17915494899664605, 'betti0_err': 10.735119047619047, 'betti1_err': 0.9699900793650793, 'pd_dist': 0.2905508859398705}
Epoch 7/30 | val: {'dice': 0.3040334667478289, 'iou': 0.1949326124574457, 'boundary_f1': 0.18302359831120288, 'betti0_err': 10.735119047619047, 'betti1_err': 0.9699900793650793, 'pd_dist': 0.2866562651122972}
Epoch 8/30 | val: {'dice': 0.3078875999365534, 'iou': 0.1979673584657056, 'boundary_f1': 0.18289354949125222, 'betti0_err': 10.735119047619047, 'betti1_err': 0.9699900793650793, 'pd_dist': 0.29179648715654355}
Epoch 9/30 | val: {'dice': 0.3077207681323801, 'iou': 0.1978465792323862, 'boundary_f1': 0.1856828938637461, 'betti0_err': 10.735119047619047, 'betti1_err': 0.9699900793650793, 'pd_dist': 0.2893788774406249}
Epoch 10/30 | val: {'dice': 0.309642172817673, 'iou': 0.19947387278079987, 'boundary_f1': 0.18378050864807197, 'betti0_err': 10.735119047619047, 'betti1_err': 0.9699900793650793, 'pd_dist': 0.2919974815277371}
Epoch 11/30 | val: {'dice': 0.30888704849140985, 'iou': 0.19896080504570687, 'boundary_f1': 0.18191346898674965, 'betti0_err': 10.735119047619047, 'betti1_err': 0.9699900793650793, 'pd_dist': 0.2929868406256092}
Epoch 12/30 | val: {'dice': 0.3017838458929743, 'iou': 0.19344321638345718, 'boundary_f1': 0.18066578917205334, 'betti0_err': 10.735119047619047, 'betti1_err': 0.9699900793650793, 'pd_dist': 0.2861963789824703}
Epoch 13/30 | val: {'dice': 0.30912332396422115, 'iou': 0.1991739347577095, 'boundary_f1': 0.18057696680937493, 'betti0_err': 10.735119047619047, 'betti1_err': 0.9699900793650793, 'pd_dist': 0.29203817938298043}
Epoch 14/30 | val: {'dice': 0.30738172041518347, 'iou': 0.19793329653995378, 'boundary_f1': 0.1735000823225294, 'betti0_err': 10.735119047619047, 'betti1_err': 0.9699900793650793, 'pd_dist': 0.28962123651395333}
Epoch 15/30 | val: {'dice': 0.30313946838889805, 'iou': 0.19456667665924346, 'boundary_f1': 0.18283982734595025, 'betti0_err': 10.735119047619047, 'betti1_err': 0.9699900793650793, 'pd_dist': 0.2884118253338122}
Epoch 16/30 | val: {'dice': 0.3038679270872048, 'iou': 0.1951542587152549, 'boundary_f1': 0.17528204486838408, 'betti0_err': 10.735119047619047, 'betti1_err': 0.9699900793650793, 'pd_dist': 0.28743571772198456}
Epoch 17/30 | val: {'dice': 0.31115478915827616, 'iou': 0.20095982828310557, 'boundary_f1': 0.17526973996843612, 'betti0_err': 10.735119047619047, 'betti1_err': 0.9699900793650793, 'pd_dist': 0.28878783483095744}
Epoch 18/30 | val: {'dice': 0.30227511482579367, 'iou': 0.19399294523256166, 'boundary_f1': 0.17985966109803744, 'betti0_err': 10.726190476190476, 'betti1_err': 0.9722222222222222, 'pd_dist': 0.29087020128125707}
Epoch 19/30 | val: {'dice': 0.30678162457687513, 'iou': 0.1975348378930773, 'boundary_f1': 0.17763965603496348, 'betti0_err': 10.732886904761903, 'betti1_err': 0.974454365079365, 'pd_dist': 0.28825582386486864}
Epoch 20/30 | val: {'dice': 0.311066563640322, 'iou': 0.2009606265595981, 'boundary_f1': 0.1780258920043707, 'betti0_err': 10.735119047619047, 'betti1_err': 0.9699900793650793, 'pd_dist': 0.28911105298953804}
Epoch 21/30 | val: {'dice': 0.3105956640626703, 'iou': 0.20060653505580767, 'boundary_f1': 0.17612654396465846, 'betti0_err': 10.735119047619047, 'betti1_err': 0.9699900793650793, 'pd_dist': 0.28902990583005167}
Epoch 22/30 | val: {'dice': 0.3083545256938253, 'iou': 0.19880865567496844, 'boundary_f1': 0.1773582249879837, 'betti0_err': 10.732886904761903, 'betti1_err': 0.9699900793650793, 'pd_dist': 0.2925713481830426}
Epoch 23/30 | val: {'dice': 0.30210008418985773, 'iou': 0.1939092677618776, 'boundary_f1': 0.18237306683191232, 'betti0_err': 10.726190476190476, 'betti1_err': 0.9699900793650793, 'pd_dist': 0.28982159853684364}
Epoch 24/30 | val: {'dice': 0.30417863758546965, 'iou': 0.1955078648669379, 'boundary_f1': 0.1855879889002868, 'betti0_err': 10.735119047619047, 'betti1_err': 0.9699900793650793, 'pd_dist': 0.29047780138436063}
