Virtual environment activated.
Epoch 1/30 | VAL Dice=0.354 IoU=0.240 BF1=0.075 Δβ0=10.44 Δβ1=0.73 PD=0.280 | geom=H⊕E⊕S topo_w=0.0
Epoch 2/30 | VAL Dice=0.430 IoU=0.304 BF1=0.071 Δβ0=10.59 Δβ1=0.77 PD=0.278 | geom=H⊕E⊕S topo_w=0.0
Epoch 3/30 | VAL Dice=0.476 IoU=0.339 BF1=0.084 Δβ0=10.80 Δβ1=0.77 PD=0.273 | geom=H⊕E⊕S topo_w=0.0
Epoch 4/30 | VAL Dice=0.508 IoU=0.371 BF1=0.064 Δβ0=10.81 Δβ1=0.72 PD=0.275 | geom=H⊕E⊕S topo_w=0.0
Epoch 5/30 | VAL Dice=0.499 IoU=0.364 BF1=0.070 Δβ0=10.62 Δβ1=0.72 PD=0.273 | geom=H⊕E⊕S topo_w=0.0
Epoch 6/30 | VAL Dice=0.513 IoU=0.379 BF1=0.077 Δβ0=10.45 Δβ1=0.74 PD=0.273 | geom=H⊕E⊕S topo_w=0.0
Epoch 7/30 | VAL Dice=0.532 IoU=0.394 BF1=0.074 Δβ0=10.15 Δβ1=0.72 PD=0.273 | geom=H⊕E⊕S topo_w=0.0
Epoch 8/30 | VAL Dice=0.545 IoU=0.406 BF1=0.091 Δβ0=10.00 Δβ1=0.76 PD=0.273 | geom=H⊕E⊕S topo_w=0.0
Epoch 9/30 | VAL Dice=0.553 IoU=0.414 BF1=0.092 Δβ0=9.89 Δβ1=0.77 PD=0.274 | geom=H⊕E⊕S topo_w=0.0
Epoch 10/30 | VAL Dice=0.540 IoU=0.404 BF1=0.089 Δβ0=9.63 Δβ1=0.74 PD=0.273 | geom=H⊕E⊕S topo_w=0.0
Epoch 11/30 | VAL Dice=0.550 IoU=0.412 BF1=0.082 Δβ0=8.91 Δβ1=0.80 PD=0.275 | geom=H⊕E⊕S topo_w=0.0
Epoch 12/30 | VAL Dice=0.556 IoU=0.418 BF1=0.087 Δβ0=9.25 Δβ1=0.80 PD=0.277 | geom=H⊕E⊕S topo_w=0.0
Epoch 13/30 | VAL Dice=0.542 IoU=0.405 BF1=0.094 Δβ0=8.77 Δβ1=0.77 PD=0.276 | geom=H⊕E⊕S topo_w=0.0
Epoch 14/30 | VAL Dice=0.549 IoU=0.415 BF1=0.092 Δβ0=9.20 Δβ1=0.78 PD=0.275 | geom=H⊕E⊕S topo_w=0.0
Epoch 15/30 | VAL Dice=0.538 IoU=0.405 BF1=0.095 Δβ0=8.80 Δβ1=0.77 PD=0.274 | geom=H⊕E⊕S topo_w=0.0
Epoch 16/30 | VAL Dice=0.551 IoU=0.417 BF1=0.106 Δβ0=8.57 Δβ1=0.81 PD=0.279 | geom=H⊕E⊕S topo_w=0.0
Epoch 17/30 | VAL Dice=0.533 IoU=0.400 BF1=0.098 Δβ0=8.27 Δβ1=0.82 PD=0.275 | geom=H⊕E⊕S topo_w=0.0
Epoch 18/30 | VAL Dice=0.548 IoU=0.416 BF1=0.105 Δβ0=8.61 Δβ1=0.80 PD=0.277 | geom=H⊕E⊕S topo_w=0.0
Epoch 19/30 | VAL Dice=0.515 IoU=0.386 BF1=0.110 Δβ0=8.34 Δβ1=0.76 PD=0.277 | geom=H⊕E⊕S topo_w=0.0
Epoch 20/30 | VAL Dice=0.550 IoU=0.418 BF1=0.109 Δβ0=8.39 Δβ1=0.76 PD=0.271 | geom=H⊕E⊕S topo_w=0.0
Epoch 21/30 | VAL Dice=0.514 IoU=0.387 BF1=0.118 Δβ0=8.16 Δβ1=0.84 PD=0.282 | geom=H⊕E⊕S topo_w=0.0
Epoch 22/30 | VAL Dice=0.556 IoU=0.424 BF1=0.120 Δβ0=8.28 Δβ1=0.84 PD=0.280 | geom=H⊕E⊕S topo_w=0.0
Epoch 23/30 | VAL Dice=0.533 IoU=0.405 BF1=0.125 Δβ0=8.10 Δβ1=0.83 PD=0.280 | geom=H⊕E⊕S topo_w=0.0
Epoch 24/30 | VAL Dice=0.540 IoU=0.411 BF1=0.122 Δβ0=7.89 Δβ1=0.80 PD=0.279 | geom=H⊕E⊕S topo_w=0.0
Epoch 25/30 | VAL Dice=0.546 IoU=0.416 BF1=0.125 Δβ0=7.66 Δβ1=0.89 PD=0.283 | geom=H⊕E⊕S topo_w=0.0
Epoch 26/30 | VAL Dice=0.526 IoU=0.396 BF1=0.117 Δβ0=7.89 Δβ1=0.89 PD=0.288 | geom=H⊕E⊕S topo_w=0.0
Epoch 27/30 | VAL Dice=0.547 IoU=0.417 BF1=0.116 Δβ0=7.83 Δβ1=0.85 PD=0.284 | geom=H⊕E⊕S topo_w=0.0
Epoch 28/30 | VAL Dice=0.548 IoU=0.418 BF1=0.130 Δβ0=7.66 Δβ1=0.89 PD=0.287 | geom=H⊕E⊕S topo_w=0.0
Epoch 29/30 | VAL Dice=0.543 IoU=0.415 BF1=0.134 Δβ0=7.48 Δβ1=0.91 PD=0.285 | geom=H⊕E⊕S topo_w=0.0
Epoch 30/30 | VAL Dice=0.539 IoU=0.412 BF1=0.131 Δβ0=7.30 Δβ1=0.90 PD=0.289 | geom=H⊕E⊕S topo_w=0.0
[SELECT] min-PD in top-5: epoch=20 Dice=0.5499 PD=0.2706
Training complete. Best-by-Dice (reference): {'dice': 0.5564553914843379, 'iou': 0.4238775943045144, 'boundary_f1': 0.12011590492617977, 'betti0_err': 8.281531531531531, 'betti1_err': 0.8400900900900901, 'pd_dist': 0.28004974016350737}
Training job completed!
